Cluster Composition,Cluster Ancestor,Representative sequence,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  ,Is the orientation ncKwa?,Any other defence system on same loci?,Other systems present,Remarks,Phylum,Order
1 member(s) 1 organism(s),firmicutes,Kiwa anti-phage protein KwaB-like domain-containing protein [Alkalicoccobacillus plakortidis],259,259,100%,8.00E-82,34.97,305,WP_251606486.1,Yes,No,,,Bacillota,Bacillales
1 member(s) 1 organism(s),firmicutes,Kiwa anti-phage protein KwaB-like domain-containing protein [Clostridium tyrobutyricum],259,259,100%,1.00E-81,39.87,307,WP_323419613.1,Yes,No,,,Bacillota,Eubacteriales
1 member(s) 1 organism(s),firmicutes,Kiwa anti-phage protein KwaB-like domain-containing protein [Finegoldia magna],259,259,100%,1.00E-81,76.9,303,WP_412308854.1,Yes,Yes,DMS other,,Bacillota,Tissierellales
1 member(s) 1 organism(s),viruses,MAG TPA: protein of unknown function (DUF4868) [Caudoviricetes sp.],258,258,94%,1.00E-81,42.25,284,DAN29227.1,Yes,N/A ,,DUF722 beside,Uroviricota,Caudovirales
2 member(s) 1 organism(s),firmicutes,Kiwa anti-phage protein KwaB-like domain-containing protein [Mediterraneibacter gnavus],259,259,100%,1.00E-81,35.06,310,WP_118038936.1,Yes,No,,,Bacillota,Lachnospirales
3 member(s) 2 organism(s),Bacillus rRNA group 1,Kiwa anti-phage protein KwaB-like domain-containing protein [Bacillus altitudinis],258,258,100%,2.00E-81,33.66,306,WP_327872375.1,Yes,No,,,Bacillota,Bacillales
1 member(s) 1 organism(s),firmicutes,DUF4868 domain-containing protein [Ruminococcus sp.],258,258,100%,4.00E-81,38.89,307,MBA4699214.1,Yes,No,,,Bacillota,Eubacteriales
2 member(s) 1 organism(s),firmicutes,Kiwa anti-phage protein KwaB-like domain-containing protein [Clostridium paraputrificum],257,257,100%,9.00E-81,37.91,306,WP_271815279.1,Yes,No,,,Bacillota,Eubacteriales
2 member(s) 1 organism(s),firmicutes,Kiwa anti-phage protein KwaB-like domain-containing protein [Megasphaera coli],256,256,99%,9.00E-81,41.12,304,WP_441562088.1,Yes,No,,Two ncKwa systems on different loci,Bacillota,Veillonellales
1 member(s) 1 organism(s),firmicutes,Kiwa anti-phage protein KwaB-like domain-containing protein [Clostridium perfringens],256,256,100%,1.00E-80,37.58,306,WP_164818873.1,Yes,Yes,PDC-S16,,Bacillota,Eubacteriales
1 member(s) 1 organism(s),Bacillus rRNA group 1,MULTISPECIES: Kiwa anti-phage protein KwaB-like domain-containing protein [Bacillus],255,255,100%,4.00E-80,35.41,305,WP_339180893.1,Yes,No,,,Bacillota,Bacillales
2 member(s) 2 organism(s),firmicutes,Kiwa anti-phage protein KwaB-like domain-containing protein [Fusibacter tunisiensis],254,254,100%,6.00E-80,76.49,302,WP_204665468.1,Yes,No,,,Bacillota,Eubacteriales
13 member(s) 2 organism(s),root,DUF4868 domain-containing protein [Clostridioides difficile],254,254,100%,1.00E-79,38.56,314,WP_015981549.1,Yes,No,,,Bacillota,Peptostreptococcales
5 member(s) 4 organism(s),firmicutes,Kiwa anti-phage protein KwaB-like domain-containing protein [Dolosigranulum pigrum],253,253,99%,2.00E-79,79,304,WP_111950632.1,Yes,Yes,RM type III,,Bacillota,Lactobacillales
1 member(s) 1 organism(s),firmicutes,Kiwa anti-phage protein KwaB-like domain-containing protein [Gracilibacillus sp. YIM 98692],253,253,99%,3.00E-79,33.67,304,WP_163537399.1,Yes,No,,,Bacillota,Bacillales
1 member(s) 1 organism(s),firmicutes,Kiwa anti-phage protein KwaB-like domain-containing protein [Phascolarctobacterium faecium],251,251,98%,1.00E-78,42.24,305,WP_418948267.1,Yes,No,,,Bacillota,Acidaminococcales
10 member(s) 7 organism(s),bacteria,Kiwa anti-phage protein KwaB-like domain-containing protein [Streptobacillus moniliformis],251,251,100%,2.00E-78,90.73,302,WP_064579705.1,Yes,Yes,PDC-S11 & RM type I & PrrC & PDC-S05 & VSPR & RM type II & DMS Other,,Fusobacteriota,Fusobacteriales
1 member(s) 1 organism(s),fusobacteria,Kiwa anti-phage protein KwaB-like domain-containing protein [Fusobacterium varium],250,250,100%,3.00E-78,51.49,299,WP_235238537.1,Yes,No,,,Fusobacteriota,Fusobacteriales
1 member(s) 1 organism(s),firmicutes,Kiwa anti-phage protein KwaB-like domain-containing protein [Bacillus sp. V3-13],249,249,100%,1.00E-77,35.95,304,WP_101658795.1,Yes,No,,,Bacillota,Bacillales
2 member(s) 1 organism(s),firmicutes,Kiwa anti-phage protein KwaB-like domain-containing protein [Paenibacillus crassostreae],248,248,99%,2.00E-77,32.01,307,WP_082865658.1,Yes,Yes,AbiE & RM type I,,Bacillota,Bacillales
1 member(s) 1 organism(s),firmicutes,Kiwa anti-phage protein KwaB-like domain-containing protein [Geomicrobium sp. JCM 19039],248,248,99%,2.00E-77,36.27,306,WP_042426180.1,N/A,N/A ,,Seems to only have ncKwaB,Bacillota,Bacillales
2 member(s) 1 organism(s),viruses,MAG TPA: protein of unknown function (DUF4868) [Caudoviricetes sp.],246,246,100%,1.00E-76,49.51,304,DAN32554.1,Yes,N/A ,,"Sigma factor AlgU negative regulatory factor, TRANSCRIPTION.96A nearby",Uroviricota,Caudovirales
1 member(s) 1 organism(s),firmicutes,Kiwa anti-phage protein KwaB-like domain-containing protein [Cohnella lupini],245,245,99%,3.00E-76,31.44,304,WP_115990456.1,Yes,No,,,Bacillota,Bacillales
1 member(s) 1 organism(s),bacteria,hypothetical protein [Candidatus Acidiferrum typicum],244,244,96%,1.00E-75,16.89,328,MCU1240742.1,No,N/A ,,,Acidobacteria,Candidatus Acidiferrales
1 member(s) 1 organism(s),firmicutes,Kiwa anti-phage protein KwaB-like domain-containing protein [Virgibacillus litoralis],243,243,100%,2.00E-75,27.45,307,WP_209481765.1,Yes,No,,,Bacillota,Bacillales
2 member(s) 1 organism(s),fusobacteria,Kiwa anti-phage protein KwaB-like domain-containing protein [Fusobacterium necrophorum],242,242,100%,3.00E-75,48.53,304,WP_285048631.1,Yes,No,,,Fusobacteriota,Fusobacteriales
1 member(s) 1 organism(s),firmicutes,Kiwa anti-phage protein KwaB-like domain-containing protein [Sinobaca qinghaiensis],242,242,100%,6.00E-75,33.01,307,WP_120192114.1,Yes,No,,,Bacillota,Bacillales
1 member(s) 1 organism(s),firmicutes,DUF4868 domain-containing protein [Oscillospiraceae bacterium],241,241,99%,1.00E-74,25.16,308,MBQ6999931.1,Yes,No,,,Bacillota,Eubacteriales
1 member(s) 1 organism(s),firmicutes,Kiwa anti-phage protein KwaB-like domain-containing protein [Schwartzia sp. (in: firmicutes)],241,241,98%,2.00E-74,23.1,318,MGP1471796.1,Yes,Yes,RM type II,,Bacillota,Selenomonadales
1 member(s) 1 organism(s),firmicutes,DUF4868 domain-containing protein [Clostridium sp.],239,239,100%,4.00E-74,40.07,298,MBS5720853.1,Yes,Yes,RM type I & PDC-S01,,Bacillota,Eubacteriales
3 member(s) 2 organism(s),firmicutes,Kiwa anti-phage protein KwaB-like domain-containing protein [Lentilactobacillus parabuchneri],240,240,99%,4.00E-74,38.96,308,WP_085012944.1,N/A,N/A ,,Seems to only have ncKwaB,Bacillota,Lactobacillales
1 member(s) 1 organism(s),firmicutes,Kiwa anti-phage protein KwaB-like domain-containing protein [Facklamia sp. P12955],239,239,100%,5.00E-74,79.8,302,WP_428876195.1,Yes,Yes,PDC-S02,,Bacillota,Lactobacillales
1 member(s) 1 organism(s),firmicutes,DUF4868 domain-containing protein [Lachnospiraceae bacterium],239,239,99%,5.00E-74,28.15,309,MDY4097229.1,Yes,Yes,PDC-S01,,Bacillota,Lachnospirales
1 member(s) 1 organism(s),firmicutes,Kiwa anti-phage protein KwaB-like domain-containing protein [Bacillus sp. ISL-57],237,237,83%,9.00E-74,30.68,258,WP_214773381.1,Yes,No,,,Bacillota,Bacillales
1 member(s) 1 organism(s),viruses,MAG TPA: protein of unknown function (DUF4868) [Caudoviricetes sp.],239,239,99%,1.00E-73,41.25,305,DAX62251.1,Yes,N/A ,,DUF722 beside,Uroviricota,Caudovirales
4 member(s) 2 organism(s),firmicutes,Kiwa anti-phage protein KwaB-like domain-containing protein [Pediococcus acidilactici],237,237,100%,3.00E-73,38.83,306,WP_075140067.1,Yes,No,,,Bacillota,Lactobacillales
1 member(s) 1 organism(s),firmicutes,Kiwa anti-phage protein KwaB-like domain-containing protein [Bacillus cytotoxicus],235,235,81%,5.00E-73,36.33,249,WP_375365061.1,N/A,N/A ,,Seems to only have ncKwaB,Bacillota,Bacillales
1 member(s) 1 organism(s),bacteria,Kiwa anti-phage protein KwaB-like domain-containing protein [Planctomycetota bacterium],237,237,96%,6.00E-73,15.18,330,MGE0713323.1,No,N/A ,,,Plantomycetota,unclassified Plantomycetota
1 member(s) 1 organism(s),firmicutes,MULTISPECIES: Kiwa anti-phage protein KwaB-like domain-containing protein [Lactonifactor],237,237,99%,7.00E-73,27.78,308,WP_154258390.1,Yes,No,,,Bacillota,Eubacteriales
1 member(s) 1 organism(s),firmicutes,Kiwa anti-phage protein KwaB-like domain-containing protein [Desulfitobacterium hafniense],236,236,100%,1.00E-72,31.05,303,WP_208925372.1,Yes,No,,,Bacillota,Eubacteriales
1 member(s) 1 organism(s),firmicutes,Kiwa anti-phage protein KwaB-like domain-containing protein [Latilactobacillus sakei],236,236,100%,2.00E-72,39.16,306,XRJ96607.1,Yes,No,,,Bacillota,Lactobacillales
1 member(s) 1 organism(s),firmicutes,Kiwa anti-phage protein KwaB-like domain-containing protein [Gemmiger formicilis],235,235,96%,2.00E-72,26.8,312,WP_370848535.1,Yes,No,,,Bacillota,Eubacteriales
1 member(s) 1 organism(s),firmicutes,Kiwa anti-phage protein KwaB-like domain-containing protein [Paucisalibacillus globulus],235,235,100%,3.00E-72,29.74,307,WP_096269414.1,Yes,No,,,Bacillota,Bacillales
1 member(s) 1 organism(s),bacteria,Kiwa anti-phage protein KwaB-like domain-containing protein [Bryobacteraceae bacterium],235,235,99%,3.00E-72,15.46,321,HEX3880493.1,No,N/A ,,,Acidobacteria,Bryobacterales
1 member(s) 1 organism(s),firmicutes,Kiwa anti-phage protein KwaB-like domain-containing protein [Peptacetobacter sp.],234,234,100%,6.00E-72,50.81,306,WP_329999783.1,Yes,No,,,Bacillota,Peptostreptococcales
2 member(s) 2 organism(s),firmicutes,MULTISPECIES: Kiwa anti-phage protein KwaB-like domain-containing protein [Lysinibacillus],233,233,100%,2.00E-71,27.78,306,WP_069509226.1,Yes,No,,Two ncKwas on different loci,Bacillota,Bacillales
3 member(s) 3 organism(s),g-proteobacteria,Kiwa anti-phage protein KwaB-like domain-containing protein [Shewanella baltica],234,234,99%,3.00E-71,15.03,339,WP_012196662.1,No,N/A ,,,Pseudomonadota,Alteromonadales
2 member(s) 1 organism(s),firmicutes,Kiwa anti-phage protein KwaB-like domain-containing protein [Weissella confusa],232,232,100%,3.00E-71,41.56,306,WP_195308127.1,Yes,No,,,Bacillota,Lactobacillales
4 member(s) 1 organism(s),GNS bacteria,Kiwa anti-phage protein KwaB-like domain-containing protein [Ktedonobacteraceae bacterium],233,233,99%,3.00E-71,14.7,327,HLJ33975.1,No,N/A ,,,Chloroflexota,Ktedonobacterales
1 member(s) 1 organism(s),firmicutes,Kiwa anti-phage protein KwaB-like domain-containing protein [Sporosarcina ureilytica],232,232,99%,4.00E-71,26.06,305,WP_075528140.1,Yes,Yes,PifA,,Bacillota,Bacillales
1 member(s) 1 organism(s),firmicutes,Kiwa anti-phage protein KwaB-like domain-containing protein [Numidum massiliense],232,232,100%,6.00E-71,28.76,306,WP_054948965.1,N/A,N/A ,,Seems to only have ncKwaB,Bacillota,Bacillales
1 member(s) 1 organism(s),a-proteobacteria,Kiwa anti-phage protein KwaB-like domain-containing protein [Microvirga sp. VF16],232,232,99%,8.00E-71,17.03,320,WP_203446917.1,Yes,Yes,RM type II,,Pseudomonadota,Hyphomicrobiales
1 member(s) 1 organism(s),firmicutes,DUF4868 domain-containing protein [Saccharococcus sp. Marseille-Q5394],231,231,100%,9.00E-71,31.49,305,WP_262173161.1,Yes,No,,,Bacillota,Bacillales
1 member(s) 1 organism(s),firmicutes,Kiwa anti-phage protein KwaB-like domain-containing protein [Ruminococcus sp.],231,231,99%,9.00E-71,27.39,304,WP_295073734.1,Yes,Yes,PDC-S04 & PDC-S14,,Bacillota,Eubacteriales
1 member(s) 1 organism(s),firmicutes,DUF4868 domain-containing protein [Angelakisella sp.],231,231,94%,1.00E-70,27.43,308,MEA5011091.1,Yes,Yes,RM type III & DMS other & PDC-S11 & PDC-S26,,Bacillota,Eubacteriales
2 member(s) 1 organism(s),firmicutes,Kiwa anti-phage protein KwaB-like domain-containing protein [Leuconostoc mesenteroides],231,231,100%,1.00E-70,35.83,307,WP_050891583.1,Yes,No,,,Bacillota,Lactobacillales
2 member(s) 2 organism(s),firmicutes,Kiwa anti-phage protein KwaB-like domain-containing protein [Mitsuokella multacida],231,231,99%,1.00E-70,36.84,325,WP_302297322.1,Yes,No,,,Bacillota,Selenomonadales
1 member(s) 1 organism(s),firmicutes,DUF4868 domain-containing protein [Phascolarctobacterium sp.],231,231,98%,1.00E-70,36.39,306,MBO5168739.1,Yes,Yes,AbiE,,Bacillota,Acidaminococcales
1 member(s) 1 organism(s),firmicutes,Kiwa anti-phage protein KwaB-like domain-containing protein [Salimicrobium salexigens],231,231,100%,2.00E-70,31.29,307,WP_076570584.1,Yes,Yes,RM type I & DMS other,,Bacillota,Bacillales
1 member(s) 1 organism(s),bacteria,hypothetical protein [Edaphobacter sp.],231,231,96%,2.00E-70,17.23,314,MCU1224678.1,No,N/A ,,,Acidobacteria,Terriglobales
1 member(s) 1 organism(s),GNS bacteria,Kiwa anti-phage protein KwaB-like domain-containing protein [Ktedonobacteraceae bacterium],231,231,99%,2.00E-70,16.99,323,HZS75319.1,No,N/A ,,,Chloroflexota,Ktedonobacterales
1 member(s) 1 organism(s),firmicutes,Kiwa anti-phage protein KwaB-like domain-containing protein [Psychrobacillus sp. NPDC093180],230,230,99%,2.00E-70,27.78,304,WP_400785240.1,Yes,No,,,Bacillota,Bacillales
3 member(s) 3 organism(s),firmicutes,Kiwa anti-phage protein KwaB-like domain-containing protein [Anaerotignum faecicola],229,229,99%,4.00E-70,26.32,307,WP_418205575.1,Yes,Yes,RM type II,,Bacillota,Lachnospirales
1 member(s) 1 organism(s),firmicutes,Kiwa anti-phage protein KwaB-like domain-containing protein [Pectinatus frisingensis],229,229,95%,5.00E-70,27.4,308,WP_196599084.1,N/A,N/A ,,Seems to only have ncKwaB,Bacillota,Selenomonadales
1 member(s) 1 organism(s),CFB group bacteria,DUF4868 domain-containing protein [Bacteroidia bacterium],230,230,99%,6.00E-70,13.25,339,MCZ2129385.1,No,N/A ,,,Bacteroidota,unclassified Bacteroidota
1 member(s) 1 organism(s),firmicutes,DUF4868 domain-containing protein [Clostridiales bacterium],228,228,90%,6.00E-70,46.69,270,MBD5087389.1,Yes,No,,,Bacillota,Eubacteriales
2 member(s) 1 organism(s),firmicutes,Kiwa anti-phage protein KwaB-like domain-containing protein [Lentibacillus persicus],229,229,100%,8.00E-70,29.22,308,WP_177183460.1,N/A,N/A ,,Seems to only have ncKwaB,Bacillota,Bacillales
1 member(s) 1 organism(s),a-proteobacteria,Kiwa anti-phage protein KwaB-like domain-containing protein [Microvirga sp. GCM10011540],229,229,99%,8.00E-70,17.67,320,WP_377033467.1,No,N/A ,,,Pseudomonadota,Hyphomicrobiales
1 member(s) 1 organism(s),g-proteobacteria,Kiwa anti-phage protein KwaB-like domain-containing protein [Vibrio natriegens],230,230,96%,8.00E-70,14.87,339,MFZ6040301.1,No,N/A ,,,Pseudomonadota,Vibrionales
1 member(s) 1 organism(s),firmicutes,Kiwa anti-phage protein KwaB-like domain-containing protein [Carnobacterium gallinarum],228,228,99%,1.00E-69,24.51,305,WP_034564829.1,Yes,No,,,Bacillota,Lactobacillales
1 member(s) 1 organism(s),firmicutes,DUF4868 domain-containing protein [Ruminiclostridium sp.],228,228,99%,1.00E-69,26.4,304,MBE5718078.1,Yes,Yes,RM type II,,Bacillota,Eubacteriales
2 member(s) 2 organism(s),firmicutes,Kiwa anti-phage protein KwaB-like domain-containing protein [Tissierella sp.],227,227,99%,3.00E-69,30.49,304,WP_313758854.1,Yes,Yes,Hachiman type I,,Bacillota,Tissierellales
2 member(s) 2 organism(s),firmicutes,Kiwa anti-phage protein KwaB-like domain-containing protein [Lysinibacillus parviboronicapiens],227,227,99%,4.00E-69,26.47,304,WP_107951330.1,Yes,Yes,Lamassu family,,Bacillota,Bacillales
2 member(s) 1 organism(s),firmicutes,Kiwa anti-phage protein KwaB-like domain-containing protein [Megasphaera elsdenii],227,227,98%,4.00E-69,38.26,306,WP_320801325.1,Yes,No,,,Bacillota,Veillonellales
1 member(s) 1 organism(s),g-proteobacteria,Kiwa anti-phage protein KwaB-like domain-containing protein [Vibrio sp. S17_S38],227,227,99%,6.00E-69,14.72,339,WP_190330987.1,No,N/A ,,,Pseudomonadota,Vibrionales
2 member(s) 1 organism(s),GNS bacteria,Kiwa anti-phage protein KwaB-like domain-containing protein [Ktedonobacteraceae bacterium],227,227,99%,7.00E-69,17.59,322,MEO9058326.1,No,N/A ,,,Chloroflexota,Ktedonobacterales
14 member(s) 5 organism(s),g-proteobacteria,MULTISPECIES: Kiwa anti-phage protein KwaB-like domain-containing protein [Vibrio],227,227,99%,7.00E-69,14.72,340,WP_199244827.1,No,N/A ,,,Pseudomonadota,Vibrionales
1 member(s) 1 organism(s),GNS bacteria,Kiwa anti-phage protein KwaB-like domain-containing protein [Ktedonobacteraceae bacterium],226,226,96%,2.00E-68,17.88,332,MHB8597778.1,No,N/A ,,,Chloroflexota,Ktedonobacterales
1 member(s) 1 organism(s),firmicutes,Kiwa anti-phage protein KwaB-like domain-containing protein [Oceanobacillus kimchii],225,225,100%,2.00E-68,27.78,306,WP_272033054.1,Yes,No,,,Bacillota,Bacillales
1 member(s) 1 organism(s),firmicutes,Kiwa anti-phage protein KwaB-like domain-containing protein [Bengtsoniella intestinalis],225,225,99%,2.00E-68,27.54,308,WP_409966903.1,N/A,N/A ,,Seems to only have ncKwaB,Bacillota,Eubacteriales
1 member(s) 1 organism(s),bacteria,DUF4868 domain-containing protein [Calditrichota bacterium],225,225,98%,3.00E-68,17.92,311,MCB9365894.1,No,N/A ,,,Calditrichota,unclassified Calditrichota
1 member(s) 1 organism(s),GNS bacteria,Kiwa anti-phage protein KwaB-like domain-containing protein [Ktedonobacterales bacterium],225,225,98%,4.00E-68,15.16,332,MGO8949264.1,No,No,,,Chloroflexota,Ktedonobacterales
1 member(s) 1 organism(s),g-proteobacteria,Kiwa anti-phage protein KwaB-like domain-containing protein [Aeromonas sp.],225,225,99%,5.00E-68,14.11,341,MGL5284594.1,N/A,N/A ,,Seems to only have ncKwaB,Pseudomonadota,Aeromonadales
1 member(s) 1 organism(s),firmicutes,Kiwa anti-phage protein KwaB-like domain-containing protein [Oceanobacillus indicireducens],224,224,99%,6.00E-68,25.73,305,WP_229782679.1,Yes,No,,,Bacillota,Bacillales
1 member(s) 1 organism(s),firmicutes,Kiwa anti-phage protein KwaB-like domain-containing protein [Enterococcus italicus],224,224,99%,7.00E-68,27.04,305,WP_455322829.1,Yes,Yes,RosmerTA,,Bacillota,Lactobacillales
1 member(s) 1 organism(s),firmicutes,Kiwa anti-phage protein KwaB-like domain-containing protein [Peribacillus frigoritolerans],224,224,99%,8.00E-68,28.01,305,WP_436115031.1,Yes,Yes,GAO 20,,Bacillota,Bacillales
