Cluster Composition,Cluster Ancestor,Representative sequence,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  ,Is the orientation ncKwa?,Any other defence system on same loci?,Other systems present,Remarks,Phylum,Order
1 member(s) 1 organism(s),g-proteobacteria,anti-phage protein KwaA [Steroidobacter denitrificans],196,196,94%,4.00E-60,20,193,WP_066917797.1,No,,,,Pseudomonadota,Steroidobacterales
1 member(s) 1 organism(s),e-proteobacteria,anti-phage protein KwaA [Sulfurovum sp.],196,196,95%,5.00E-60,22.51,194,WP_373032871.1,No,,,,Campylobacterota,Campylobacterales
2 member(s) 2 organism(s),enterobacteria,anti-phage protein KwaA [Ewingella americana],196,196,96%,6.00E-60,19.49,200,WP_140471153.1,No,,,,Pseudomonadota,Enterobacterales
1 member(s) 1 organism(s),g-proteobacteria,anti-phage protein KwaA [Halomonas sp. IOP_14],195,195,95%,6.00E-60,23.04,192,WP_230804974.1,No,,,,Pseudomonadota,Oceanospirillales
1 member(s) 1 organism(s),b-proteobacteria,anti-phage protein KwaA [Paraburkholderia domus],195,195,96%,9.00E-60,21.13,195,WP_328822726.1,No,,,,Pseudomonadota,Burkholderiales
1 member(s) 1 organism(s),bacteria,anti-phage protein KwaA [Rhodopirellula baltica],194,194,94%,1.00E-59,18.95,193,WP_007340379.1,No,,,,Planctomycetota,Pirellulales
1 member(s) 1 organism(s),enterobacteria,anti-phage protein KwaA [Citrobacter portucalensis],196,196,94%,1.00E-59,20.42,223,MFV4777574.1,No,,,,Pseudomonadota,Enterobacterales
1 member(s) 1 organism(s),g-proteobacteria,hypothetical protein [Gammaproteobacteria bacterium],194,194,95%,2.00E-59,20.31,196,MCF6257258.1,No,,,,Pseudomonadota,unclassified Gammaproteobacteria
1 member(s) 1 organism(s),g-proteobacteria,MULTISPECIES: anti-phage protein KwaA [Aeromonas],194,194,97%,2.00E-59,22.05,195,WP_139436083.1,No,,,,Pseudomonadota,Aeromonadales
1 member(s) 1 organism(s),verrucomicrobia,hypothetical protein [Verrucomicrobiia bacterium],194,194,98%,3.00E-59,20.71,200,NCC62090.1,No,,,,Verrucomicrobiota,unclassified Verrucomicrobiia
4 member(s) 4 organism(s),bacteria,anti-phage protein KwaA [Marinomonas sargassi],193,193,97%,5.00E-59,22.96,198,WP_263529656.1,No,,,,Pseudomonadota,Oceanospirillales
1 member(s) 1 organism(s),g-proteobacteria,MULTISPECIES: anti-phage protein KwaA [Neptunomonas],192,192,94%,6.00E-59,21.99,193,WP_370052359.1,No,,,,Pseudomonadota,Oceanospirillales
6 member(s) 4 organism(s),enterobacteria,MULTISPECIES: anti-phage protein KwaA [Enterobacter],193,193,96%,7.00E-59,20,200,WP_032634077.1,No,,,KwaB split into two,Pseudomonadota,Enterobacterales
1 member(s) 1 organism(s),b-proteobacteria,anti-phage protein KwaA [Ferriphaselus sp. R-1],192,192,95%,8.00E-59,17.71,194,WP_035384730.1,No,,,,Pseudomonadota,Nitrosomonadales
15 member(s) 3 organism(s),enterobacteria,anti-phage protein KwaA [Escherichia coli],192,192,96%,9.00E-59,19.49,200,WP_271290915.1,No,,,,Pseudomonadota,Enterobacterales
1 member(s) 1 organism(s),RNA similarity group I,MULTISPECIES: anti-phage protein KwaA [Pseudomonas],193,193,98%,1.00E-58,18.78,222,WP_235571164.1,No,,,,Pseudomonadota,Pseudomonadales
2 member(s) 2 organism(s),enterobacteria,anti-phage protein KwaA [Enterobacter huaxiensis],191,191,96%,2.00E-58,18.46,200,WP_259389155.1,No,,,,Pseudomonadota,Enterobacterales
1 member(s) 1 organism(s),g-proteobacteria,anti-phage protein KwaA [Microbulbifer variabilis],191,191,97%,3.00E-58,19.49,195,WP_475102827.1,No,,,,Pseudomonadota,Cellvibrionales
3 member(s) 3 organism(s),RNA similarity group I,anti-phage protein KwaA [Pseudomonas palleroniana],191,191,96%,3.00E-58,19.17,194,WP_104994798.1,No,,,,Pseudomonadota,Pseudomonadales
1 member(s) 1 organism(s),g-proteobacteria,anti-phage protein KwaA [Pseudoalteromonas peptidolytica],190,190,94%,3.00E-58,22.11,192,WP_318672023.1,No,,,,Pseudomonadota,Alteromonadales
1 member(s) 1 organism(s),g-proteobacteria,anti-phage protein KwaA [Chelonobacter oris],190,190,96%,3.00E-58,23.44,192,WP_034616122.1,No,,,,Pseudomonadota,Pasteurellales
1 member(s) 1 organism(s),g-proteobacteria,anti-phage protein KwaA [Stenotrophomonas humi],190,190,96%,3.00E-58,24.87,193,WP_449468216.1,No,,,,Pseudomonadota,Lysobacterales
1 member(s) 1 organism(s),bacteria,anti-phage protein KwaA [Pseudobdellovibrionaceae bacterium],190,190,96%,4.00E-58,21.24,194,MFA7275876.1,No,,,,Bdellovibrionota,Bdellovibrionales
1 member(s) 1 organism(s),bacteria,anti-phage protein KwaA [Kiritimatiellales bacterium],190,190,94%,4.00E-58,19.47,194,MFA7257392.1,No,,,,Kiritimatiellota,Kiritimatiellales
2 member(s) 2 organism(s),enterobacteria,anti-phage protein KwaA [Dickeya fangzhongdai],190,190,96%,6.00E-58,20.51,200,WP_121480419.1,No,,,,Pseudomonadota,Enterobacterales
1 member(s) 1 organism(s),RNA similarity group I,MULTISPECIES: anti-phage protein KwaA [Pseudomonas],190,190,96%,7.00E-58,19.17,195,WP_150798001.1,No,,,,Pseudomonadota,Pseudomonadales
1 member(s) 1 organism(s),CFB group bacteria,anti-phage protein KwaA [Epilithonimonas xixisoli],190,190,94%,8.00E-58,21.05,196,WP_133943226.1,No,,,,Bacteroidota,Flavobacteriales
1 member(s) 1 organism(s),bacteria,anti-phage protein KwaA [Thermodesulfobacteriota bacterium],190,190,96%,9.00E-58,23.2,196,MHO4194607.1,No,,,,Thermodesulfobacteriota,unclassified Thermodesulfobacteriota
1 member(s) 1 organism(s),CFB group bacteria,hypothetical protein [Cytophagales bacterium],189,189,95%,1.00E-57,20.83,194,HCW07284.1,No,,,,Bacteroidota,Cytophagales
5 member(s) 5 organism(s),RNA similarity group I,MULTISPECIES: anti-phage protein KwaA [unclassified Pseudomonas],189,189,96%,1.00E-57,18.65,194,WP_092151200.1,No,,,,Pseudomonadota,Pseudomonadales
1 member(s) 1 organism(s),g-proteobacteria,anti-phage protein KwaA [Motiliproteus sp.],189,189,97%,2.00E-57,19.49,195,WP_421865064.1,No,,,,Pseudomonadota,Oceanospirillales
1 member(s) 1 organism(s),g-proteobacteria,anti-phage protein KwaA [Halomonas sp. AOP43-D1-4],189,189,95%,2.00E-57,21.47,194,WP_444680438.1,No,,,,Pseudomonadota,Oceanospirillales
10 member(s) 5 organism(s),enterobacteria,"anti-phage protein KwaA, partial [Escherichia coli]",189,189,96%,2.00E-57,18.97,201,WP_262826113.1,No,,,,Pseudomonadota,Enterobacterales
1 member(s) 1 organism(s),enterobacteria,anti-phage protein KwaA [Pantoea agglomerans],189,189,96%,2.00E-57,21.03,200,WP_182500235.1,No,,,,Pseudomonadota,Enterobacterales
1 member(s) 1 organism(s),g-proteobacteria,anti-phage protein KwaA [Gilvimarinus xylanilyticus],189,189,96%,2.00E-57,21.24,194,WP_253969226.1,No,,,,Pseudomonadota,Cellvibrionales
1 member(s) 1 organism(s),g-proteobacteria,anti-phage protein KwaA [Shewanella xiamenensis],189,189,97%,2.00E-57,23.08,195,WP_374920578.1,No,,,,Pseudomonadota,Alteromonadales
1 member(s) 1 organism(s),proteobacteria,anti-phage protein KwaA [Mariprofundus aestuarium],189,189,96%,2.00E-57,18.65,195,WP_100277062.1,No,,,,Pseudomonadota,Mariprofundales
4 member(s) 3 organism(s),Arcobacter group,anti-phage protein KwaA [Halarcobacter mediterraneus],189,189,96%,2.00E-57,22.28,193,WP_129060153.1,No,,,,Campylobacterota,Campylobacterales
1 member(s) 1 organism(s),b-proteobacteria,anti-phage protein KwaA [Limnohabitans sp.],188,188,95%,4.00E-57,15.62,195,WP_448442417.1,No,,,,Pseudomonadota,Burkholderiales
12 member(s) 8 organism(s),enterobacteria,anti-phage protein KwaA [Enterobacter soli],188,188,97%,4.00E-57,19.9,200,WP_331408630.1,No,,,,Pseudomonadota,Enterobacterales
1 member(s) 1 organism(s),enterobacteria,hypothetical protein [Morganella morganii subsp. morganii],188,188,96%,5.00E-57,18.46,200,HEO9718316.1,No,,,,Pseudomonadota,Enterobacterales
3 member(s) 3 organism(s),g-proteobacteria,anti-phage protein KwaA [Vibrio pectenicida],188,188,97%,5.00E-57,23.59,195,WP_171361347.1,No,,,,Pseudomonadota,Vibrionales
6 member(s) 3 organism(s),enterobacteria,anti-phage protein KwaA [Escherichia coli],188,188,96%,6.00E-57,19.59,200,WP_231833453.1,N/A,,,Seems to only have ncKwaA,Pseudomonadota,Enterobacterales
5 member(s) 3 organism(s),g-proteobacteria,anti-phage protein KwaA [Aeromonas salmonicida],187,187,96%,8.00E-57,21.65,195,WP_125607766.1,No,,,,Pseudomonadota,Aeromonadales
1 member(s) 1 organism(s),proteobacteria,anti-phage protein KwaA [Pseudomonadota bacterium],187,187,92%,8.00E-57,21.93,192,MEC8327234.1,No,,,,Pseudomonadota,unclassified Pseudomonadota
1 member(s) 1 organism(s),CFB group bacteria,anti-phage protein KwaA [Roseivirga sp.],187,187,95%,1.00E-56,21.99,192,WP_421986305.1,No,,,,Pseudomonadota,Cytophagales
1 member(s) 1 organism(s),g-proteobacteria,anti-phage protein KwaA [Marinobacter azerbaijanicus],187,187,96%,1.00E-56,20.62,194,WP_422732788.1,No,,,,Pseudomonadota,Pseudomonadales
1 member(s) 1 organism(s),proteobacteria,anti-phage protein KwaA [Acidithiobacillus ferrivorans],187,187,96%,1.00E-56,17.62,194,MHB8236170.1,No,,,,Pseudomonadota,Acidithiobacillales
1 member(s) 1 organism(s),proteobacteria,hypothetical protein [Pseudomonadota bacterium],186,186,94%,2.00E-56,21.58,194,MBS0298577.1,No,,,,Pseudomonadota,unclassified Pseudomonadota
3 member(s) 2 organism(s),g-proteobacteria,anti-phage protein KwaA [Shewanella surugensis],186,186,97%,2.00E-56,21.83,198,WP_248943439.1,No,,,,Pseudomonadota,Alteromonadales
1 member(s) 1 organism(s),CFB group bacteria,hypothetical protein [Carboxylicivirga sp.],186,186,94%,2.00E-56,24.21,191,MCT4590614.1,No,,,,Bacteroidota,Marinilabiliales
3 member(s) 3 organism(s),g-proteobacteria,anti-phage protein KwaA [Aliiglaciecola sp. SL4],185,185,92%,4.00E-56,21.93,192,WP_372547395.1,No,,,,Pseudomonadota,Alteromonadales
1 member(s) 1 organism(s),bacteria,anti-phage protein KwaA [Candidatus Zixiibacteriota bacterium],185,185,97%,8.00E-56,22.05,201,MEZ5358851.1,No,,,,Zixiibacteriota,unclassified Candidatus Zixiibacteriota
1 member(s) 1 organism(s),b-proteobacteria,anti-phage protein KwaA [Methylotenera mobilis],184,184,95%,1.00E-55,18.75,193,WP_012777593.1,No,,,,Pseudomonadota,Nitrosomonadales
1 member(s) 1 organism(s),CFB group bacteria,anti-phage protein KwaA [Marinoscillum pacificum],184,184,95%,1.00E-55,23.56,192,WP_258100626.1,No,,,,Bacteroidota,Cytophagales
1 member(s) 1 organism(s),b-proteobacteria,hypothetical protein [Nitrosomonadales bacterium],184,184,95%,1.00E-55,21.88,194,MBI5429436.1,No,,,,Pseudomonadota,Nitrosomonadales
1 member(s) 1 organism(s),firmicutes,anti-phage protein KwaA [Desulfosporosinus meridiei],184,184,100%,1.00E-55,24.1,195,WP_471717414.1,No,,,,Bacillota,Eubacteriales
2 member(s) 2 organism(s),g-proteobacteria,anti-phage protein KwaA [Xanthomonas graminis],184,184,83%,2.00E-55,22.5,195,WP_237652048.1,No,,,,Pseudomonadota,Lysobacterales
1 member(s) 1 organism(s),RNA similarity group I,MULTISPECIES: anti-phage protein KwaA [Pseudomonas],184,184,96%,2.00E-55,20.62,195,WP_153772556.1,No,,,,Pseudomonadota,Pseudomonadales
6 member(s) 4 organism(s),g-proteobacteria,MULTISPECIES: anti-phage protein KwaA [Aeromonas],184,184,96%,2.00E-55,20.62,195,WP_080628951.1,No,,,,Pseudomonadota,Aeromonadales
2 member(s) 2 organism(s),g-proteobacteria,anti-phage protein KwaA [Marinomonas maritima],183,183,94%,3.00E-55,21.99,193,WP_394358987.1,No,,,,Pseudomonadota,Oceanospirillales
3 member(s) 3 organism(s),enterobacteria,anti-phage protein KwaA [Proteus vulgaris],184,184,96%,3.00E-55,19.49,200,WP_247850080.1,No,,,,Pseudomonadota,Enterobacterales
15 member(s) 11 organism(s),enterobacteria,anti-phage protein KwaA [Citrobacter sp. Cb004],183,183,96%,4.00E-55,20,200,WP_286455571.1,No,,,,Pseudomonadota,Enterobacterales
1 member(s) 1 organism(s),firmicutes,anti-phage protein KwaA [Clostridium sp. BSD9I1],183,183,96%,5.00E-55,25.91,202,WP_207653886.1,No,,,,Bacillota,Eubacteriales
2 member(s) 2 organism(s),g-proteobacteria,anti-phage protein KwaA [Halioglobus sp.],182,182,94%,8.00E-55,21.05,194,MEZ5568267.1,No,,,,Pseudomonadota,Cellvibrionales
1 member(s) 1 organism(s),CFB group bacteria,anti-phage protein KwaA [Labilibaculum euxinicum],181,181,94%,2.00E-54,22.63,191,WP_124991130.1,No,,,,Bacteroidota,Marinilabiliales
1 member(s) 1 organism(s),g-proteobacteria,anti-phage protein KwaA [Vibrio harveyi],180,180,95%,3.00E-54,17.71,192,EOU3283508.1,No,,,,Pseudomonadota,Vibrionales
1 member(s) 1 organism(s),b-proteobacteria,anti-phage protein KwaA [Methylophilaceae bacterium],180,180,95%,3.00E-54,20.42,194,MEZ0318286.1,No,,,,Pseudomonadota,Nitrosomonadales
1 member(s) 1 organism(s),g-proteobacteria,anti-phage protein KwaA [Pseudomonas putida],180,180,98%,4.00E-54,16.15,196,WP_274109238.1,No,,,,Pseudomonadota,Pseudomonadales
1 member(s) 1 organism(s),g-proteobacteria,MULTISPECIES: anti-phage protein KwaA [Vibrionaceae],180,180,97%,4.00E-54,16.16,198,WP_148636169.1,No,,,,Pseudomonadota,Vibrionales
3 member(s) 2 organism(s),bacteria,anti-phage protein KwaA [Shewanella sp. YLB-07],180,180,94%,5.00E-54,23.56,193,WP_227992811.1,No,,,,Pseudomonadota,Alteromonadales
1 member(s) 1 organism(s),firmicutes,anti-phage protein KwaA [Desulforamulus aquiferis],180,180,96%,7.00E-54,23.83,194,WP_304540859.1,No,,,,Bacillota,Eubacteriales
1 member(s) 1 organism(s),b-proteobacteria,anti-phage protein KwaA [Vogesella indigofera],180,180,94%,7.00E-54,21.99,192,WP_120809954.1,No,,,,Pseudomonadota,Neisseriales
5 member(s) 5 organism(s),proteobacteria,MULTISPECIES: anti-phage protein KwaA [Alcaligenes],180,180,98%,7.00E-54,16.67,196,WP_009455712.1,No,,,,Pseudomonadota,Burkholderiales
1 member(s) 1 organism(s),e-proteobacteria,anti-phage protein KwaA [Aliarcobacter butzleri],179,179,96%,2.00E-53,21.76,194,WP_151950520.1,No,,,,Campylobacterota,Campylobacterales
1 member(s) 1 organism(s),g-proteobacteria,anti-phage protein KwaA [uncultured Alcanivorax sp.],179,179,94%,2.00E-53,22.11,192,WP_300352838.1,N/A,,,Seems to only have ncKwaA,Pseudomonadota,Oceanospirillales
1 member(s) 1 organism(s),CFB group bacteria,anti-phage protein KwaA [Pedobacter chinensis],178,178,92%,3.00E-53,19.15,190,WP_115405060.1,No,,,,Bacteroidota,Sphingobacteriales
2 member(s) 2 organism(s),enterobacteria,anti-phage protein KwaA [Pantoea dispersa],178,178,96%,3.00E-53,20,196,WP_236569447.1,No,,,,Pseudomonadota,Enterobacterales
1 member(s) 1 organism(s),bacteria,hypothetical protein [Balneola sp.],178,178,94%,3.00E-53,23.16,190,MAO65309.1,No,,,,Balneolota,Balneolales
1 member(s) 1 organism(s),E. coli,hypothetical protein [Escherichia coli],177,177,89%,4.00E-53,20.99,181,HCC7632532.1,N/A,,,Seems to only have ncKwaA,Pseudomonadota,Enterobacterales
2 member(s) 1 organism(s),firmicutes,anti-phage protein KwaA [Natranaerovirga hydrolytica],178,178,98%,4.00E-53,22.34,202,WP_132283202.1,No,,,,Bacillota,Lachnospirales
1 member(s) 1 organism(s),firmicutes,anti-phage protein KwaA [Lachnospiraceae bacterium],178,178,97%,4.00E-53,22.05,201,MDO4317457.1,No,,,,Bacillota,Lachnospirales
1 member(s) 1 organism(s),b-proteobacteria,MULTISPECIES: anti-phage protein KwaA [Achromobacter],178,178,96%,4.00E-53,21.76,195,WP_088590536.1,No,,,,Pseudomonadota,Burkholderiales
1 member(s) 1 organism(s),b-proteobacteria,anti-phage protein KwaA [Nitrosovibrio tenuis],178,178,97%,4.00E-53,19.49,196,WP_090828138.1,No,,,,Pseudomonadota,Nitrosomonadales
2 member(s) 2 organism(s),enterobacteria,anti-phage protein KwaA [Pectobacterium carotovorum],178,178,82%,5.00E-53,22.01,199,WP_010301880.1,No,,,,Pseudomonadota,Enterobacterales
1 member(s) 1 organism(s),g-proteobacteria,anti-phage protein KwaA [Methylococcales bacterium],178,178,96%,5.00E-53,18.78,200,MFK5950649.1,No,,,,Pseudomonadota,Methylococcales
1 member(s) 1 organism(s),CFB group bacteria,anti-phage protein KwaA [Prevotella intermedia],177,177,94%,6.00E-53,21.47,191,WP_099836902.1,No,,,,Bacteroidota,Bacteroidales
7 member(s) 6 organism(s),enterobacteria,MULTISPECIES: anti-phage protein KwaA [unclassified Serratia (in: enterobacteria)],177,177,96%,6.00E-53,21.03,198,WP_399673974.1,No,,,,Pseudomonadota,Enterobacterales
1 member(s) 1 organism(s),e-proteobacteria,anti-phage protein KwaA [Malaciobacter mytili],177,177,96%,6.00E-53,22.28,193,WP_416880406.1,No,,,,Campylobacterota,Campylobacterales
1 member(s) 1 organism(s),g-proteobacteria,anti-phage protein KwaA [Pasteurella multocida],177,177,94%,6.00E-53,21.05,197,MFC1027129.1,No,,,,Pseudomonadota,Pasteurellales
3 member(s) 3 organism(s),g-proteobacteria,anti-phage protein KwaA [Vibrio metschnikovii],177,177,95%,6.00E-53,16.67,194,WP_263231676.1,No,,,,Pseudomonadota,Vibrionales
4 member(s) 4 organism(s),RNA similarity group I,anti-phage protein KwaA [Pseudomonas koreensis],177,177,97%,9.00E-53,15.71,196,WP_301621603.1,No,,,,Pseudomonadota,Pseudomonadales
3 member(s) 1 organism(s),g-proteobacteria,anti-phage protein KwaA [Vibrio mimicus],177,177,95%,1.00E-52,15.62,194,WP_334428758.1,No,,,,Pseudomonadota,Vibrionales
1 member(s) 1 organism(s),bacteria,hypothetical protein [Synergistaceae bacterium],177,177,96%,1.00E-52,18.65,193,NLM71851.1,No,,,,Synergistota,Synergistales
2 member(s) 2 organism(s),RNA similarity group I,MULTISPECIES: anti-phage protein KwaA [Pseudomonas],177,177,98%,1.00E-52,15.62,196,WP_154211926.1,No,,,,Pseudomonadota,Pseudomonadales
3 member(s) 2 organism(s),g-proteobacteria,anti-phage protein KwaA [Acinetobacter baumannii],177,177,94%,1.00E-52,23.56,191,WP_145850589.1,No,,,,Pseudomonadota,Moraxellales
1 member(s) 1 organism(s),g-proteobacteria,MULTISPECIES: anti-phage protein KwaA [Xanthomonas],176,176,94%,2.00E-52,18.82,188,WP_082473585.1,No,,,,Pseudomonadota,Lysobacterales
1 member(s) 1 organism(s),CFB group bacteria,anti-phage protein KwaA [Pedobacter fastidiosus],176,176,93%,2.00E-52,22.53,189,WP_187071980.1,No,,,,Bacteroidota,Sphingobacteriales
7 member(s) 1 organism(s),g-proteobacteria,anti-phage protein KwaA [Vibrio parahaemolyticus],176,176,97%,2.00E-52,16.67,198,WP_258485012.1,No,,,,Pseudomonadota,Vibrionales
3 member(s) 2 organism(s),root,anti-phage protein KwaA [Campylobacter concisus],175,175,94%,3.00E-52,22.63,194,WP_103630394.1,No,,,,Campylobacterota,Campylobacterales
5 member(s) 4 organism(s),firmicutes,anti-phage protein KwaA [Gemmiger sp.],176,176,99%,3.00E-52,23.62,204,WP_291223972.1,No,,,,Bacillota,Eubacteriales
1 member(s) 1 organism(s),g-proteobacteria,hypothetical protein [Kangiella sp.],175,175,94%,4.00E-52,22.11,193,MBD3668547.1,No,,,,Pseudomonadota,Kangiellales
1 member(s) 1 organism(s),,anti-phage protein KwaA [Pseudomonas sp. TE12234],175,175,98%,5.00E-52,17.71,196,WP_457373133.1,No,,,,Pseudomonadota,Pseudomonadales
2 member(s) 1 organism(s),enterobacteria,anti-phage protein KwaA [Brenneria salicis],174,174,79%,6.00E-52,22.22,160,WP_280523370.1,No,,,,Pseudomonadota,Enterobacterales
2 member(s) 1 organism(s),firmicutes,anti-phage protein KwaA [Ruthenibacterium lactatiformans],175,175,99%,9.00E-52,22.22,202,WP_205457429.1,No,,,,Bacillota,Eubacteriales
1 member(s) 1 organism(s),g-proteobacteria,anti-phage protein KwaA [Pseudomonas sp. MWU16-30317],174,174,98%,9.00E-52,15.62,196,WP_226504119.1,No,,,,Pseudomonadota,Pseudomonadales
1 member(s) 1 organism(s),g-proteobacteria,anti-phage protein KwaA [Rheinheimera riviphila],174,174,97%,9.00E-52,19.19,198,WP_127701158.1,No,,,,Pseudomonadota,Chromatiales
13 member(s) 12 organism(s),g-proteobacteria,anti-phage protein KwaA [Alteromonas sp. DY56-G5],174,174,97%,1.00E-51,18.18,198,WP_278343988.1,No,,,,Pseudomonadota,Alteromonadales
1 member(s) 1 organism(s),CFB group bacteria,anti-phage protein KwaA [Labilibaculum euxinicum],174,174,92%,1.00E-51,23.04,193,WP_461643943.1,No,,,,Bacteroidota,Marinilabiliales
5 member(s) 3 organism(s),enterobacteria,hypothetical protein [Enterobacter hormaechei],173,173,83%,1.00E-51,21.12,172,HCR0099897.1,N/A,,,Seems to only have nckwaA,Pseudomonadota,Enterobacterales
2 member(s) 2 organism(s),enterobacteria,anti-phage protein KwaA [Enterobacter kobei],174,174,97%,1.00E-51,19.9,203,WP_248180727.1,No,,,,Pseudomonadota,Enterobacterales
1 member(s) 1 organism(s),CFB group bacteria,anti-phage protein KwaA [Robiginitalea biformata],173,173,94%,2.00E-51,23.28,189,WP_420592724.1,No,,,,Bacteroidota,Flavobacteriales
1 member(s) 1 organism(s),enterobacteria,"anti-phage protein KwaA, partial [Rahnella aceris]",172,172,79%,2.00E-51,22.22,156,WP_217147194.1,No,,,,Pseudomonadota,Enterobacterales
4 member(s) 2 organism(s),g-proteobacteria,anti-phage protein KwaA [Vibrio fluvialis],174,174,95%,2.00E-51,23.41,208,WP_238851720.1,No,,,,Pseudomonadota,Vibrionales
1 member(s) 1 organism(s),g-proteobacteria,MULTISPECIES: anti-phage protein KwaA [Vibrio],172,172,94%,4.00E-51,21.58,190,WP_025640039.1,No,,,,Pseudomonadota,Vibrionales
2 member(s) 1 organism(s),CFB group bacteria,anti-phage protein KwaA [Sphingobacterium faecium],173,173,96%,4.00E-51,18.56,196,WP_228115736.1,No,,,,Bacteroidota,Sphingobacteriales
1 member(s) 1 organism(s),CFB group bacteria,anti-phage protein KwaA [Edaphocola aurantiacus],172,172,84%,5.00E-51,25.77,194,WP_222167067.1,No,,,,Bacteroidota,Chitinophagales
